location,count
"Philadelphia, PA",14568
"Tucson, AZ",9251
"Tampa, FL",9049
"Indianapolis, IN",7543
"Nashville, TN",6971
"New Orleans, LA",6208
"Reno, NV",5934
"Edmonton, AB",5054
"Saint Louis, MO",4828
"Santa Barbara, CA",3834
"Boise, ID",2938
"Clearwater, FL",2221
"Saint Petersburg, FL",1663
"Metairie, LA",1644
"Sparks, NV",1624
"Wilmington, DE",1447
"Franklin, TN",1411
"St. Louis, MO",1254
"St. Petersburg, FL",1185
"Meridian, ID",1043
"Brandon, FL",1033
"Largo, FL",1002
"Carmel, IN",967
"Cherry Hill, NJ",959
"West Chester, PA",838
"Goleta, CA",798
"Palm Harbor, FL",665
"Greenwood, IN",649
"Brentwood, TN",645
"New Port Richey, FL",604
"Lutz, FL",591
"Riverview, FL",588
"Kenner, LA",584
"Fishers, IN",570
"Wesley Chapel, FL",561
"King of Prussia, PA",560
"Doylestown, PA",539
"Pinellas Park, FL",512
"Dunedin, FL",491
"Hendersonville, TN",484
"Bensalem, PA",454
"Norristown, PA",448
"Exton, PA",419
"Marlton, NJ",415
"Spring Hill, FL",400
"Tarpon Springs, FL",398
"St Petersburg, FL",387
"Lansdale, PA",379
"Ardmore, PA",376
"Wayne, PA",375
"Media, PA",371
"Phoenixville, PA",365
"Smyrna, TN",365
"Seminole, FL",359
"Newark, DE",359
"St Louis, MO",356
"Gretna, LA",352
"Mount Laurel, NJ",343
"Springfield, PA",330
"Langhorne, PA",327
"Saint Charles, MO",326
"Trenton, NJ",323
"Pottstown, PA",323
"Newtown, PA",322
"Florissant, MO",313
"Avon, IN",313
"Willow Grove, PA",311
"Belleville, IL",303
"Havertown, PA",302
"Conshohocken, PA",301
"Carpinteria, CA",299
"Levittown, PA",298
"Sherwood Park, AB",297
"Malvern, PA",295
"Harvey, LA",289
"Fenton, MO",288
"Eagle, ID",287
"Oro Valley, AZ",286
"Oldsmar, FL",286
"Bryn Mawr, PA",286
"Warminster, PA",285
"Mount Juliet, TN",280
"Valrico, FL",276
"Edwardsville, IL",274
"Madison, TN",272
"Plainfield, IN",271
"Port Richey, FL",270
"North Wales, PA",268
"Hermitage, TN",267
"Collegeville, PA",257
"Plant City, FL",257
"Ballwin, MO",254
"Downingtown, PA",248
"New Hope, PA",246
"Fairview Heights, IL",241
"Voorhees, NJ",241
"Zionsville, IN",234
"Antioch, TN",231
"Hudson, FL",228
"Arnold, MO",227
"Sewell, NJ",226
"Jenkintown, PA",224
"Upper Darby, PA",218
"New Castle, DE",217
"Creve Coeur, MO",214
"Kirkwood, MO",212
"Ambler, PA",211
"Moorestown, NJ",210
"Brownsburg, IN",208
"Maryland Heights, MO",207
"Glen Mills, PA",206
"Warrington, PA",203
"Bala Cynwyd, PA",202
"Goodlettsville, TN",201
"Plymouth Meeting, PA",199
"Medford, NJ",196
"Horsham, PA",193
"Clayton, MO",193
"Blue Bell, PA",190
"Southampton, PA",187
"Glenside, PA",187
"Haddonfield, NJ",183
"Burlington, NJ",177
"Huntingdon Valley, PA",177
"Hatboro, PA",176
"Newtown Square, PA",176
"Kennett Square, PA",175
"Woodbury, NJ",171
"Marrero, LA",170
"Broomall, PA",170
"Royersford, PA",169
"Collingswood, NJ",169
"Abington, PA",169
"Bridgeton, MO",167
"St. Pete Beach, FL",167
"Madeira Beach, FL",165
"Clearwater Beach, FL",163
"Yardley, PA",161
"Sicklerville, NJ",160
"Collinsville, IL",159
"Pennsauken, NJ",158
"Garden City, ID",158
"Harahan, LA",157
"O'Fallon, IL",153
"Drexel Hill, PA",153
"Fairless Hills, PA",153
"Paoli, PA",152
"Gallatin, TN",151
"Chesterfield, MO",151
"Alton, IL",150
"Maple Shade, NJ",148
"Des Peres, MO",147
"Glassboro, NJ",143
"Blackwood, NJ",141
"Tampa Bay, FL",141
"Ruskin, FL",140
"Zephyrhills, FL",139
"Safety Harbor, FL",139
"Aston, PA",135
"King Of Prussia, PA",134
"Maplewood, MO",134
"Odessa, FL",132
"Bristol, PA",131
"Turnersville, NJ",130
"Temple Terrace, FL",129
"Chalfont, PA",124
"Lambertville, NJ",124
"Holiday, FL",124
"Brentwood, MO",123
"Apollo Beach, FL",122
"Deptford, NJ",121
"Manchester, MO",121
"Chadds Ford, PA",121
"Cinnaminson, NJ",120
"Ewing, NJ",119
"Morrisville, PA",118
"Land O Lakes, FL",117
"Bordentown, NJ",116
"Gulfport, FL",115
"Chalmette, LA",114
"Narberth, PA",113
"Mount Holly, NJ",113
"Williamstown, NJ",112
"Webster Groves, MO",111
"Elkins Park, PA",111
"Berwyn, PA",110
"Souderton, PA",108
"Camden, NJ",108
"Trinity, FL",108
"St Charles, MO",107
"Treasure Island, FL",106
"Seffner, FL",105
"Hazelwood, MO",104
"St. Charles, MO",104
"Marana, AZ",102
"Delran, NJ",101
"Clementon, NJ",100
"Hatfield, PA",100
"Berlin, NJ",99
"Feasterville Trevose, PA",99
"University City, MO",98
"Harleysville, PA",98
"Land O' Lakes, FL",97
"Montgomeryville, PA",96
"Folsom, PA",95
"Isla Vista, CA",94
"Montecito, CA",93
"Nolensville, TN",93
"St Albert, AB",93
"East Norriton, PA",93
"Richmond Heights, MO",91
"Perkasie, PA",91
"La Vergne, TN",88
"Swedesboro, NJ",87
"Lansdowne, PA",86
"Richboro, PA",86
"Wynnewood, PA",86
"O Fallon, IL",85
"Hockessin, DE",85
"West Berlin, NJ",85
"Indian Rocks Beach, FL",84
"Old Hickory, TN",84
"Audubon, NJ",81
"Valley Park, MO",80
"Feasterville, PA",79
"Mt. Juliet, TN",78
"Mooresville, IN",78
"Limerick, PA",78
"Quakertown, PA",77
"Feasterville-Trevose, PA",76
